#count	#translation	#r	#qmap	#qdot	#pmap	#pdot
1	australia is and have diplomatic relations north korea one of the a small number of countries of .	1.0	WordPenalty=-7.81730067426 PhraseModel_1=9.07433376462 Glue=4.0 PhraseModel_2=9.75173740834 PhraseModel_0=4.66176498868	23.4375757678	PhraseModel_2=9.75173740834 Glue=4.0 PhraseModel_1=9.07433376462 WordPenalty=-7.81730067426 PhraseModel_0=4.66176498868	23.4375757678
1	australia is and have diplomatic relations north korea one of the a small number of countries of .	1.0	PhraseModel_0=4.43479973078 PhraseModel_2=9.75173749775 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 Glue=3.0	24.6483138407	PhraseModel_2=9.75173749775 Glue=3.0 PhraseModel_0=4.43479973078 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426	24.6483138407
1	australia is and have diplomatic relations north korea one of the a small number of countries .	1.0	PhraseModel_1=9.07433373482 PhraseModel_2=9.35554661602 WordPenalty=-7.38300619236 PhraseModel_0=3.87243647315 Glue=3.0	22.6391388882	PhraseModel_2=9.35554661602 Glue=3.0 PhraseModel_0=3.87243647315 PhraseModel_1=9.07433373482 WordPenalty=-7.38300619236	22.6391388882
4	australia is and have diplomatic relations north korea one of the a small number of countries .	1.0	PhraseModel_2=9.35554661602 PhraseModel_1=9.07433373482 Glue=4.0 PhraseModel_0=3.42624608614 WordPenalty=-7.38300619236	25.019325891	PhraseModel_2=9.35554661602 Glue=4.0 PhraseModel_1=9.07433373482 WordPenalty=-7.38300619236 PhraseModel_0=3.42624608614	25.019325891
1	australia is and have diplomatic relations north korea one of the a small number of countries .	1.0	WordPenalty=-7.38300619236 PhraseModel_2=9.35554661602 PhraseModel_1=9.07433373482 PhraseModel_0=3.74186415412 Glue=3.0	23.335672354	PhraseModel_2=9.35554661602 Glue=3.0 PhraseModel_0=3.74186415412 PhraseModel_1=9.07433373482 WordPenalty=-7.38300619236	23.335672354
4	australia is with north korea have diplomatic relations the a small number of countries one of .	1.0	PhraseModel_0=3.4774091933 PhraseModel_1=8.58773265035 PhraseModel_2=9.60801150649 Glue=6.0 WordPenalty=-7.38300619236	25.8321089908	PhraseModel_2=9.60801150649 Glue=6.0 PhraseModel_0=3.4774091933 PhraseModel_1=8.58773265035 WordPenalty=-7.38300619236	25.8321089908
1	australia is with north korea have diplomatic relations the a small number of countries one of .	1.0	PhraseModel_0=4.1368714273 WordPenalty=-7.38300619236 Glue=4.0 PhraseModel_2=9.60801150649 PhraseModel_1=8.58773265035	22.3142307847	PhraseModel_2=9.60801150649 PhraseModel_0=4.1368714273 Glue=4.0 WordPenalty=-7.38300619236 PhraseModel_1=8.58773265035	22.3142307847
1	australia is and north korea have diplomatic relations the a small number of countries one of .	1.0	PhraseModel_1=9.07433376461 WordPenalty=-7.38300619236 Glue=5.0 PhraseModel_2=9.35554658622 PhraseModel_0=4.76832343079	17.8600612445	PhraseModel_2=9.35554658622 Glue=5.0 PhraseModel_1=9.07433376461 WordPenalty=-7.38300619236 PhraseModel_0=4.76832343079	17.8600612445
2	australia is and north korea have diplomatic relations the a small number of countries one of .	1.0	PhraseModel_2=9.35554658622 PhraseModel_0=3.39946446754 PhraseModel_1=9.07433376462 WordPenalty=-7.38300619236 Glue=7.0	25.1621914739	PhraseModel_2=9.35554658622 Glue=7.0 PhraseModel_0=3.39946446754 PhraseModel_1=9.07433376462 WordPenalty=-7.38300619236	25.1621914739
3	australia is have diplomatic relations with north korea one of the a small number of countries .	1.0	PhraseModel_2=9.6080115363 PhraseModel_0=3.50419081189 PhraseModel_1=8.58773262055 Glue=3.0 WordPenalty=-7.38300619236	25.689243408	PhraseModel_2=9.6080115363 Glue=3.0 PhraseModel_0=3.50419081189 PhraseModel_1=8.58773262055 WordPenalty=-7.38300619236	25.689243408
1	australia is and north korea one of the a small number of countries of have diplomatic relations .	1.0	PhraseModel_2=9.75173749775 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 Glue=3.0 PhraseModel_0=4.84138486721	22.4793996609	PhraseModel_2=9.75173749775 Glue=3.0 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 PhraseModel_0=4.84138486721	22.4793996609
1	australia is and north korea one of the a small number of countries of have diplomatic relations .	1.0	PhraseModel_2=9.75173749775 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 Glue=2.0 PhraseModel_0=5.10836775043	21.0551888148	PhraseModel_2=9.75173749775 Glue=2.0 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 PhraseModel_0=5.10836775043	21.0551888148
1	australia is and north korea one of the a small number of countries of have diplomatic relations .	1.0	WordPenalty=-7.81730067426 PhraseModel_2=9.75173749775 PhraseModel_1=9.07433373482 Glue=4.0 PhraseModel_0=4.46516410448	24.4863361519	PhraseModel_2=9.75173749775 Glue=4.0 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 PhraseModel_0=4.46516410448	24.4863361519
1	australia is have diplomatic relations with north korea the one of a small number of countries of .	1.0	PhraseModel_0=4.95547425747 PhraseModel_1=8.58773265035 WordPenalty=-7.81730067426 PhraseModel_2=10.0042023286 Glue=3.0	22.9565048817	PhraseModel_2=10.0042023286 Glue=3.0 PhraseModel_0=4.95547425747 PhraseModel_1=8.58773265035 WordPenalty=-7.81730067426	22.9565048817
2	australia is have diplomatic relations with north korea the one of a small number of countries of .	1.0	WordPenalty=-7.81730067426 PhraseModel_1=8.58773265035 Glue=4.0 PhraseModel_2=10.0042023286 PhraseModel_0=4.51786086895	25.2909381863	PhraseModel_2=10.0042023286 Glue=4.0 PhraseModel_1=8.58773265035 WordPenalty=-7.81730067426 PhraseModel_0=4.51786086895	25.2909381863
1	australia is and have diplomatic relations north korea the one of a small number of countries of .	1.0	Glue=5.0 WordPenalty=-7.81730067426 PhraseModel_1=9.07433376462 PhraseModel_2=9.75173740834 PhraseModel_0=4.4399161432	24.6210206693	PhraseModel_2=9.75173740834 PhraseModel_0=4.4399161432 Glue=5.0 WordPenalty=-7.81730067426 PhraseModel_1=9.07433376462	24.6210206693
1	australia is and have diplomatic relations north korea the one of a small number of countries of .	1.0	PhraseModel_0=4.87752953172 WordPenalty=-7.81730067426 Glue=4.0 PhraseModel_2=9.75173740834 PhraseModel_1=9.07433376462	22.2865873647	PhraseModel_2=9.75173740834 PhraseModel_0=4.87752953172 Glue=4.0 WordPenalty=-7.81730067426 PhraseModel_1=9.07433376462	22.2865873647
1	australia is with have diplomatic relations north korea one of the a small number of countries of .	1.0	WordPenalty=-7.81730067426 PhraseModel_1=8.58773268015 Glue=4.0 PhraseModel_2=10.004202418 PhraseModel_0=4.24379081465	26.7529549227	PhraseModel_2=10.004202418 Glue=4.0 PhraseModel_1=8.58773268015 WordPenalty=-7.81730067426 PhraseModel_0=4.24379081465	26.7529549227
1	australia is with have diplomatic relations north korea one of the a small number of countries of .	1.0	PhraseModel_0=4.68140420318 PhraseModel_1=8.58773268015 WordPenalty=-7.81730067426 Glue=3.0 PhraseModel_2=10.004202418	24.4185216181	Glue=3.0 PhraseModel_2=10.004202418 PhraseModel_0=4.68140420318 PhraseModel_1=8.58773268015 WordPenalty=-7.81730067426	24.4185216181
2	australia is and north korea have diplomatic relations one of the a small number of countries .	1.0	WordPenalty=-7.38300619236 PhraseModel_2=9.35554661602 PhraseModel_1=9.07433373482 PhraseModel_0=3.42624608614 Glue=5.0	25.019325891	PhraseModel_2=9.35554661602 Glue=5.0 PhraseModel_0=3.42624608614 PhraseModel_1=9.07433373482 WordPenalty=-7.38300619236	25.019325891
1	australia is with north korea have diplomatic relations the one of of a few countries .	1.0	PhraseModel_2=8.65888264031 WordPenalty=-6.94871171045 PhraseModel_1=8.59147766978 Glue=6.0 PhraseModel_0=4.04400897957	19.4170290594	PhraseModel_2=8.65888264031 Glue=6.0 PhraseModel_1=8.59147766978 WordPenalty=-6.94871171045 PhraseModel_0=4.04400897957	19.4170290594
1	australia is with north korea have diplomatic relations the one of of a few countries .	1.0	PhraseModel_0=3.22161209583 PhraseModel_1=8.59147754313 PhraseModel_2=8.65888282657 WordPenalty=-6.94871171045 Glue=4.0	23.8040763789	PhraseModel_2=8.65888282657 Glue=4.0 PhraseModel_0=3.22161209583 PhraseModel_1=8.59147754313 WordPenalty=-6.94871171045	23.8040763789
1	australia is with north korea have diplomatic relations the one of a small number of countries of .	1.0	PhraseModel_1=8.58773265035 Glue=5.0 WordPenalty=-7.81730067426 PhraseModel_2=10.0042023286 PhraseModel_0=4.51786086895	25.2909381863	PhraseModel_2=10.0042023286 Glue=5.0 PhraseModel_1=8.58773265035 WordPenalty=-7.81730067426 PhraseModel_0=4.51786086895	25.2909381863
1	australia is with north korea have diplomatic relations the one of a small number of countries of .	1.0	PhraseModel_1=8.58773270995 PhraseModel_2=10.0042023286 Glue=5.0 WordPenalty=-7.81730067426 PhraseModel_0=5.08883694746	22.2450860554	PhraseModel_2=10.0042023286 Glue=5.0 PhraseModel_1=8.58773270995 WordPenalty=-7.81730067426 PhraseModel_0=5.08883694746	22.2450860554
1	australia is have diplomatic relations and north korea one of the a small number of countries of .	1.0	PhraseModel_2=9.75173749775 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 Glue=3.0 PhraseModel_0=4.50189111568	24.2904171962	PhraseModel_2=9.75173749775 Glue=3.0 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 PhraseModel_0=4.50189111568	24.2904171962
1	australia is have diplomatic relations and north korea one of the a small number of countries of .	1.0	PhraseModel_2=9.75173749775 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 Glue=3.0 PhraseModel_0=4.44337672927	24.6025601425	PhraseModel_2=9.75173749775 Glue=3.0 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 PhraseModel_0=4.44337672927	24.6025601425
1	australia is with have diplomatic relations north korea 's the a small number of countries one of .	1.0	PhraseModel_2=10.9010406956 PhraseModel_1=8.58773270995 WordPenalty=-7.81730067426 Glue=6.0 PhraseModel_0=4.61388427951	22.1339594844	PhraseModel_2=10.9010406956 Glue=6.0 PhraseModel_1=8.58773270995 WordPenalty=-7.81730067426 PhraseModel_0=4.61388427951	22.1339594844
1	australia is with north korea have diplomatic relations the small group of countries one of .	1.0	PhraseModel_1=8.58773250134 PhraseModel_2=10.6095702574 WordPenalty=-6.94871171045 PhraseModel_0=2.57692957856 Glue=5.0	21.5046897263	PhraseModel_2=10.6095702574 Glue=5.0 PhraseModel_0=2.57692957856 PhraseModel_1=8.58773250134 WordPenalty=-6.94871171045	21.5046897263
1	australia is one of the a small number of countries of the have diplomatic relations . with north korea	1.0	PhraseModel_1=8.5877326727 PhraseModel_0=6.08396452666 Glue=1.0 WordPenalty=-8.25159515616 PhraseModel_2=10.3322050571	22.1467794987	Glue=1.0 PhraseModel_2=10.3322050571 PhraseModel_0=6.08396452666 PhraseModel_1=8.5877326727 WordPenalty=-8.25159515616	22.1467794987
1	australia is and north korea 's have diplomatic relations the one of a small number of countries of .	1.0	PhraseModel_1=9.07433376462 Glue=5.0 WordPenalty=-8.25159515616 PhraseModel_2=11.0447665975 PhraseModel_0=5.47467822768	21.4654558349	PhraseModel_2=11.0447665975 Glue=5.0 PhraseModel_1=9.07433376462 WordPenalty=-8.25159515616 PhraseModel_0=5.47467822768	21.4654558349
1	australia is have diplomatic relations with north korea the one of a small number of countries .	1.0	PhraseModel_0=3.70574359037 PhraseModel_1=8.58773265035 Glue=4.0 PhraseModel_2=9.60801150649 WordPenalty=-7.38300619236	24.6140671413	Glue=4.0 PhraseModel_2=9.60801150649 PhraseModel_0=3.70574359037 PhraseModel_1=8.58773265035 WordPenalty=-7.38300619236	24.6140671413
1	australia is and north korea the a small number of countries of the have diplomatic relations one of .	1.0	PhraseModel_1=9.07433376462 PhraseModel_2=10.5733638629 Glue=5.0 WordPenalty=-8.25159515616 PhraseModel_0=5.76326728799	21.3161377582	PhraseModel_2=10.5733638629 Glue=5.0 PhraseModel_1=9.07433376462 WordPenalty=-8.25159515616 PhraseModel_0=5.76326728799	21.3161377582
1	australia is with one of the a small number of countries of the have diplomatic relations north korea .	1.0	Glue=2.0 PhraseModel_1=8.58773270995 WordPenalty=-8.25159515616 PhraseModel_2=10.8258287832 PhraseModel_0=6.64052248933	17.7221612948	PhraseModel_2=10.8258287832 PhraseModel_0=6.64052248933 Glue=2.0 WordPenalty=-8.25159515616 PhraseModel_1=8.58773270995	17.7221612948
1	australia is with the have diplomatic relations north korea one of the a small number of countries of . . . .	1.0	PhraseModel_0=9.74155342579 WordPenalty=-9.55447860187 PhraseModel_1=8.58773268015 Glue=3.0 PhraseModel_2=11.0912723243	18.9293420338	Glue=3.0 PhraseModel_2=11.0912723243 PhraseModel_0=9.74155342579 PhraseModel_1=8.58773268015 WordPenalty=-9.55447860187	18.9293420338
1	australia is with north korea have diplomatic relations one of the a small number of countries .	1.0	PhraseModel_0=3.67285055854 PhraseModel_1=8.58773268015 WordPenalty=-7.38300619236 PhraseModel_2=9.6080115363 Glue=5.0	24.7895336684	PhraseModel_2=9.6080115363 Glue=5.0 PhraseModel_0=3.67285055854 PhraseModel_1=8.58773268015 WordPenalty=-7.38300619236	24.7895336684
1	australia is one of the a small number of countries of have diplomatic relations with north korea .	1.0	PhraseModel_2=10.004202418 Glue=2.0 PhraseModel_1=8.58773262055 WordPenalty=-7.81730067426 PhraseModel_0=4.54310883024	25.1562536689	PhraseModel_2=10.004202418 PhraseModel_0=4.54310883024 Glue=2.0 WordPenalty=-7.81730067426 PhraseModel_1=8.58773262055	25.1562536689
1	australia is with north korea have diplomatic relations one of the a handful of countries .	1.0	PhraseModel_2=9.19815187901 PhraseModel_1=7.82752145083 WordPenalty=-6.94871171045 Glue=4.0 PhraseModel_0=3.90213085152	21.4570057264	PhraseModel_2=9.19815187901 Glue=4.0 PhraseModel_1=7.82752145083 WordPenalty=-6.94871171045 PhraseModel_0=3.90213085152	21.4570057264
1	australia is and have diplomatic relations north korea the a small number of countries one of .	1.0	PhraseModel_2=9.35554658622 PhraseModel_0=3.39946446754 WordPenalty=-7.38300619236 Glue=6.0 PhraseModel_1=9.07433376462	25.1621914739	PhraseModel_2=9.35554658622 PhraseModel_0=3.39946446754 Glue=6.0 WordPenalty=-7.38300619236 PhraseModel_1=9.07433376462	25.1621914739
1	australia is and have diplomatic relations north korea 's a small number of countries the one of .	1.0	Glue=5.0 WordPenalty=-7.81730067426 PhraseModel_1=9.07433376462 PhraseModel_2=10.6485757753 PhraseModel_0=4.76521984674	20.2409544935	PhraseModel_2=10.6485757753 PhraseModel_0=4.76521984674 Glue=5.0 WordPenalty=-7.81730067426 PhraseModel_1=9.07433376462	20.2409544935
1	australia is with north korea 's have diplomatic relations one of the a small number of countries .	1.0	PhraseModel_1=8.58773268015 Glue=5.0 WordPenalty=-7.81730067426 PhraseModel_2=10.9010407254 PhraseModel_0=4.6406658981	21.9910939015	PhraseModel_2=10.9010407254 Glue=5.0 PhraseModel_1=8.58773268015 WordPenalty=-7.81730067426 PhraseModel_0=4.6406658981	21.9910939015
1	australia is and the north have diplomatic relations the one of of a few countries .	1.0	PhraseModel_0=4.11148270964 WordPenalty=-6.94871171045 PhraseModel_2=8.7587825656 Glue=4.0 PhraseModel_1=9.0780786574	16.9322707591	PhraseModel_2=8.7587825656 PhraseModel_0=4.11148270964 Glue=4.0 WordPenalty=-6.94871171045 PhraseModel_1=9.0780786574	16.9322707591
1	australia is with north korea one of the a small number of countries of the have diplomatic relations .	1.0	PhraseModel_1=8.5877326727 PhraseModel_0=5.4819045663 Glue=2.0 WordPenalty=-8.25159515616 PhraseModel_2=10.3322050571	25.3584472851	Glue=2.0 PhraseModel_2=10.3322050571 PhraseModel_0=5.4819045663 PhraseModel_1=8.5877326727 WordPenalty=-8.25159515616	25.3584472851
1	australia is and have diplomatic relations north korea the one of of a few countries .	1.0	PhraseModel_0=3.45928543806 WordPenalty=-6.94871171045 Glue=2.0 PhraseModel_2=8.40641790629 PhraseModel_1=9.0780786574	21.450505325	PhraseModel_2=8.40641790629 PhraseModel_0=3.45928543806 Glue=2.0 WordPenalty=-6.94871171045 PhraseModel_1=9.0780786574	21.450505325
1	australia is one of the a small number of countries of the have diplomatic relations with north korea .	1.0	PhraseModel_1=8.5877327323 PhraseModel_0=6.15526908637 PhraseModel_2=10.3322050571 Glue=1.0 WordPenalty=-8.25159515616	21.7664075964	PhraseModel_2=10.3322050571 Glue=1.0 PhraseModel_0=6.15526908637 PhraseModel_1=8.5877327323 WordPenalty=-8.25159515616	21.7664075964
1	australia is and north korea have diplomatic relations the small group of countries one of .	1.0	PhraseModel_1=9.07433361561 PhraseModel_2=10.3571053371 WordPenalty=-6.94871171045 PhraseModel_0=2.4989848528 Glue=6.0	20.8347722094	PhraseModel_2=10.3571053371 Glue=6.0 PhraseModel_0=2.4989848528 PhraseModel_1=9.07433361561 WordPenalty=-6.94871171045	20.8347722094
1	australia is with the have diplomatic relations north korea one of the a small number of countries .	1.0	PhraseModel_1=8.58773268015 WordPenalty=-7.81730067426 Glue=3.0 PhraseModel_2=10.6229935214 PhraseModel_0=5.09579128959	20.383194903	PhraseModel_2=10.6229935214 Glue=3.0 PhraseModel_1=8.58773268015 WordPenalty=-7.81730067426 PhraseModel_0=5.09579128959	20.383194903
1	australia is with north korea 's have diplomatic relations one of the a small number of countries of . . . .	1.0	PhraseModel_0=9.68874436617 PhraseModel_1=8.58773268015 Glue=4.0 WordPenalty=-9.55447860187 PhraseModel_2=11.3693195283	18.3910986411	Glue=4.0 PhraseModel_2=11.3693195283 PhraseModel_0=9.68874436617 PhraseModel_1=8.58773268015 WordPenalty=-9.55447860187	18.3910986411
1	australia is with north korea have diplomatic relations one of the a small number of countries of . . . .	1.0	PhraseModel_0=8.69483345747 PhraseModel_1=8.58773268015 Glue=4.0 WordPenalty=-9.12018411997 PhraseModel_2=10.0762903392	21.3287443081	Glue=4.0 PhraseModel_2=10.0762903392 PhraseModel_0=8.69483345747 PhraseModel_1=8.58773268015 WordPenalty=-9.12018411997	21.3287443081
1	australia is and have diplomatic relations north korea by a small minority of one of countries .	1.0	WordPenalty=-7.38300619236 PhraseModel_2=10.8216938004 PhraseModel_1=8.58144400269 Glue=3.0 PhraseModel_0=4.89447767474	14.7173532498	PhraseModel_2=10.8216938004 Glue=3.0 PhraseModel_1=8.58144400269 WordPenalty=-7.38300619236 PhraseModel_0=4.89447767474	14.7173532498
